Language,ID,L1,L2,EnglishL2,English_MP,Dialect,Sex,Age,Meaning,Team,UniqueItem,Rep,Choice,ACC,Name,ISO639.3,Script,Genus,Autotyp_Area,Continent,Longitude,Latitude,Family,category,subcategory,Animacy
EE,EE_2057308,estonian,"russian, german, english, french",TRUE,L2,NA,F,55,small,TM,TM_small.wav,2,fruit,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,adjective,animate
EE,EE_2057447,estonian,"spanish, english, russian",TRUE,L2,NA,F,45,deer,IL,IL_deer.wav,3,deer,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,animal,animate
EE,EE_2071211,estonian,"spanish, english, russian, italian, french, finnish",TRUE,L2,NA,F,35,rock,KR,KR_rock.wav,4,rock,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,noun,inanimate,inanimate
EE,EE_2059608,estonian,"swedish, german, english, russian",TRUE,L2,NA,F,40,sleep,NC,NC_sleep.wav,1,sleep,1,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,action,action,animate
EE,EE_2109632,estonian ,"english, german  ",TRUE,L2,NA,F,19,one,NC,NC_one.wav,3,clapping,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,quantifier,animate
EE,EE_2056161,estonian ,"english, german, russian, latvian",TRUE,L2,hiiu,F,28,many,KR,KR_many.wav,2,this,0,Estonian,est,roman,Finno-Ugric,Inner Asia,N-C Asia,26,59,other,property,quantifier,animate
FA,FA_2068709,farsi,english,TRUE,L2,NA,F,24,pound,KR,KR_pound.wav,2,dull,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,action,action,animate
FA,FA_2103514,farsi,english,TRUE,L2,NA,F,36,gather,KR,KR_gather.wav,4,pound,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,action,action,animate
FA,FA_2105292,farsi,english,TRUE,L2,NA,M,38,woman,BW,BW_woman.wav,3,man,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,noun,people,animate
FA,FA_2120082,farsi,english,TRUE,L2,tehrani,F,31,hide,NC,NC_hide.wav,6,cook,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,action,action,animate
FA,FA_2150878,farsi,english,TRUE,L2,NA,M,28,snake,NC,NC_snake.wav,5,fire,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,noun,animal,animate
FA,FA_2151101,farsi,english,TRUE,L2,NA,F,26,sleep,NC,NC_sleep.wav,3,sleep,1,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,action,action,animate
FA,FA_2151146,farsi,english,TRUE,L2,khorasani,M,26,deer,KD,KD_deer.wav,2,deer,1,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,noun,animal,animate
FA,FA_2151452,farsi,english,TRUE,L2,gilaki,F,24,rock,SU,SU_rock.wav,3,this,0,Farsi,fas,different,IE,Greater Mesopotamia,W and SW Eurasia,54,32,IE,noun,inanimate,inanimate
